n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,2.6,256,4.37,60.00,Ball_no_boundary,1,0.0,21319369.29,1.00,1,16436007,-1,0,0.00
1,134217728,2.6,256,6.18,120.00,Ball_no_boundary,1,0.0,10182451.14,1.00,1,7846708,-1,0,0.00
1,134217728,2.6,256,8.74,240.00,Ball_no_boundary,1,0.0,26398765.59,1.00,1,20339206,-1,0,0.00
1,134217728,2.6,256,12.36,480.00,Ball_no_boundary,1,0.0,184920.93,1.00,1,141905,-1,0,0.00
1,134217728,2.6,256,17.48,960.00,Ball_no_boundary,1,0.0,2085393.99,1.00,1,1607540,-1,0,0.00
1,134217728,2.6,256,24.72,1920.00,Ball_no_boundary,1,0.0,371708.41,1.00,1,286347,-1,0,0.00
1,134217728,2.6,256,30.90,3000.00,Ball_no_boundary,1,0.0,230417.53,1.00,1,179046,-1,0,0.00
1,134217728,2.6,256,7.00,60.00,Line,1,0.0,58374972.51,1.00,1,45020136,-1,0,0.00
1,134217728,2.6,256,17.00,120.00,Line,1,0.0,13389882.87,1.00,1,10331477,-1,0,0.00
1,134217728,2.6,256,36.00,240.00,Line,1,0.0,15135499.90,1.00,1,11681588,-1,0,0.00
1,134217728,2.6,256,74.00,480.00,Line,1,0.0,517769.04,1.00,1,399535,-1,0,0.00
1,134217728,2.6,256,150.00,960.00,Line,1,0.0,141838.16,1.00,1,108900,-1,0,0.00
1,134217728,2.6,256,303.00,1920.00,Line,1,0.0,593623.00,1.00,1,458421,-1,0,0.00
1,134217728,2.6,256,475.00,3000.00,Line,1,0.0,1201936.45,1.00,1,932963,-1,0,0.00
1,134217728,2.8,256,4.37,60.00,Ball_no_boundary,1,0.0,2339959.45,1.00,1,2103692,-1,0,0.00
1,134217728,2.8,256,6.18,120.00,Ball_no_boundary,1,0.0,13709230.37,1.00,1,12299504,-1,0,0.00
