n_walkers,n_volume,mu,lmax,D,TargetShape,DiskDiameter,n_targets,fixed_target_dist,detection_time,probability
1,134217728,2.4,256,300.00,Line,300,1,0.0,985254.57,1.00
1,134217728,2.4,256,15.36,Ball_no_boundary,300,1,0.0,1338885.73,1.00
1,134217728,2.4,256,350.00,Line,350,1,0.0,1992088.74,1.00
1,134217728,2.4,256,16.16,Ball_no_boundary,350,1,0.0,328796.47,1.00
1,134217728,2.4,256,400.00,Line,400,1,0.0,87724.08,1.00
1,134217728,2.4,256,16.90,Ball_no_boundary,400,1,0.0,3162387.72,1.00
1,134217728,2.4,256,450.00,Line,450,1,0.0,876227.47,1.00
1,134217728,2.4,256,17.57,Ball_no_boundary,450,1,0.0,419518.65,1.00
1,134217728,2.4,256,500.00,Line,500,1,0.0,560685.72,1.00
1,134217728,2.4,256,18.20,Ball_no_boundary,500,1,0.0,2284643.96,1.00
1,134217728,2.6,256,10.00,Line,10,1,0.0,2257543.92,1.00
1,134217728,2.6,256,5.24,Ball_no_boundary,10,1,0.0,870338.18,1.00
1,134217728,2.6,256,25.00,Line,25,1,0.0,5696004.42,1.00
1,134217728,2.6,256,6.87,Ball_no_boundary,25,1,0.0,7482845.24,1.00
1,134217728,2.6,256,50.00,Line,50,1,0.0,2781922.48,1.00
1,134217728,2.6,256,8.55,Ball_no_boundary,50,1,0.0,1273295.18,1.00
1,134217728,2.6,256,100.00,Line,100,1,0.0,4977985.80,1.00
1,134217728,2.6,256,10.70,Ball_no_boundary,100,1,0.0,6151464.72,1.00
1,134217728,2.6,256,200.00,Line,200,1,0.0,577399.73,1.00
1,134217728,2.6,256,13.43,Ball_no_boundary,200,1,0.0,17129653.91,1.00
1,134217728,2.6,256,250.00,Line,250,1,0.0,1269018.32,1.00
1,134217728,2.6,256,14.46,Ball_no_boundary,250,1,0.0,2607074.34,1.00
1,134217728,2.6,256,300.00,Line,300,1,0.0,1943034.68,1.00
1,134217728,2.6,256,15.36,Ball_no_boundary,300,1,0.0,213449.83,1.00
1,134217728,2.6,256,350.00,Line,350,1,0.0,1032218.37,1.00
1,134217728,2.6,256,16.16,Ball_no_boundary,350,1,0.0,45445.87,1.00
1,134217728,2.6,256,400.00,Line,400,1,0.0,315586.41,1.00
1,134217728,2.6,256,16.90,Ball_no_boundary,400,1,0.0,1712870.17,1.00
1,134217728,2.6,256,450.00,Line,450,1,0.0,2029499.93,1.00
1,134217728,2.6,256,17.57,Ball_no_boundary,450,1,0.0,951347.43,1.00
1,134217728,2.6,256,500.00,Line,500,1,0.0,21806.26,1.00
1,134217728,2.6,256,18.20,Ball_no_boundary,500,1,0.0,5947147.91,1.00
1,134217728,2.8,256,10.00,Line,10,1,0.0,13186998.34,1.00
1,134217728,2.8,256,5.24,Ball_no_boundary,10,1,0.0,5549374.54,1.00
1,134217728,2.8,256,25.00,Line,25,1,0.0,7236533.06,1.00
1,134217728,2.8,256,6.87,Ball_no_boundary,25,1,0.0,1113868.51,1.00
1,134217728,2.8,256,50.00,Line,50,1,0.0,2843959.31,1.00
1,134217728,2.8,256,8.55,Ball_no_boundary,50,1,0.0,3926421.45,1.00
1,134217728,2.8,256,100.00,Line,100,1,0.0,506629.30,1.00
1,134217728,2.8,256,10.70,Ball_no_boundary,100,1,0.0,1385243.17,1.00
1,134217728,2.8,256,200.00,Line,200,1,0.0,2276130.39,1.00
1,134217728,2.8,256,13.43,Ball_no_boundary,200,1,0.0,3194183.61,1.00
1,134217728,2.8,256,250.00,Line,250,1,0.0,1316097.64,1.00
1,134217728,2.8,256,14.46,Ball_no_boundary,250,1,0.0,2898739.09,1.00
1,134217728,2.8,256,300.00,Line,300,1,0.0,533029.42,1.00
1,134217728,2.8,256,15.36,Ball_no_boundary,300,1,0.0,113792.44,1.00
1,134217728,2.8,256,350.00,Line,350,1,0.0,329621.66,1.00
1,134217728,2.8,256,16.16,Ball_no_boundary,350,1,0.0,1235216.77,1.00
1,134217728,2.8,256,400.00,Line,400,1,0.0,972575.17,1.00
1,134217728,2.8,256,16.90,Ball_no_boundary,400,1,0.0,604243.87,1.00
1,134217728,2.8,256,450.00,Line,450,1,0.0,1686495.70,1.00
1,134217728,2.8,256,17.57,Ball_no_boundary,450,1,0.0,1080899.85,1.00
1,134217728,2.8,256,500.00,Line,500,1,0.0,1073298.69,1.00
1,134217728,2.8,256,18.20,Ball_no_boundary,500,1,0.0,1544415.73,1.00
1,134217728,3.0,256,10.00,Line,10,1,0.0,8649643.49,1.00
1,134217728,3.0,256,5.24,Ball_no_boundary,10,1,0.0,6621393.91,1.00
